"english_name","arabic_name","iso3","iso2","phone_code","capital_english","capital_arabic","area_in_kilometer_square","currency","currency_name_en","currency_name_ar","currency_symbol","tld","region","subregion","timezones__zoneName","timezones__gmtOffset","timezones__gmtOffsetName","timezones__abbreviation","timezones__tzName","translations__kr","translations__br","translations__pt","translations__nl","translations__hr","translations__fa","translations__de","translations__es","translations__fr","translations__ja","translations__it","translations__cn","translations__tr","latitude","longitude","emoji","emojiU","governorates__id","governorates__name_en","governorates__name_ar","governorates__name_ar_tashkeel","governorates__phone_numbering_plan","governorates__capital_name_ar","governorates__capital_name_en","governorates__name_ar_normalized","governorates__name_en_normalized","governorates__districts__id","governorates__districts__name_en","governorates__districts__name_ar","governorates__districts__name_ar_tashkeel","governorates__districts__name_ar_normalized","governorates__districts__name_en_normalized"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Mansorah","المنصورة","المَنْصُورَة","المنصوره","Al Mansorah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Al-Boriqah","البريقة","البُرَيْقَة","البريقه","Al Boriqah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Al-Tawwahi","التواهي","التَّوَّاهِي","التواهي","Al Tawwahi"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Khoor Maksar","خور مكسر","خُوْر مَكَسَر","خور مكسر","Khoor Maksar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Seerh","صيرة","صِيْرَة","صيره","Seerh"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Al-Mo'alla","المعلا","المُعَلَّا","المعلا","Al Moalla"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Al-Hodeidah","الحديدة","الحُدَيْدَة","03","مدينة الحديدة","Al-Hodeidah City","الحديده","Al Hodeidah","1","Bait Al-Fakih","بيت الفقية","بَيْت الفَقِيْة","بيت الفقيه","Bait Al Fakih"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al-Tohaita","التحيتا","التُّحَيْتَا","التحيتا","Al Tohaita"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Kamaran","كمران","كَمَرَان","كمران","Kamaran"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Al-Khookhah","الخوخة","الخُوْخُة","الخوخه","Al Khookhah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Al-Doraihmi","الدريهمي","الدُرَيْهِمِي","الدريهمي","Al Doraihmi"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Luhayyah","اللحية","اللُّحَيَّة","اللحيه","Al Luhayyah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Zabeed","زبيد","زَبِيْد","زبيد","Zabeed"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Jabal Raas","جبل راس","جَبَل رَاس","جبل راس","Jabal Raas"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Al-Marawiah","المراوعة","المَرَاوِعَة","المراوعه","Al Marawiah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Al-Jarrahi","الجراحي","الجَّرَّاحِي","الجراحي","Al Jarrahi"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Al-Zuhrah","الزهرة","الزُّهْرَة","الزهره","Al Zuhrah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Al-Mighlaf","المغلاف","المِغْلَاف","المغلاف","Al Mighlaf"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Al-Mansoriah","المنصورية","المَنْصُورِيَّة","المنصوريه","Al Mansoriah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Al-Zaydiyah","الزيدية","الزَّيْدِيَة","الزيديه","Al Zaydiyah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Al-Hali","الحالي","الحَالِي","الحالي","Al Hali"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Al-Hojailah","الحجيلة","الحُجَّيْلَة","الحجيله","Al Hojailah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Al-Sokhnah","السخنة","السُّخْنَة","السخنه","Al Sokhnah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Al-Munirah","المنيرة","المُنِيْرَة","المنيره","Al Munirah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Al-Hook","الحوك","الحَوَك","الحوك","Al Hook"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Al-Saleef","الصليف","الصَّلِيْف","الصليف","Al Saleef"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Al-Mena","الميناء","المِيْنَاء","الميناء","Al Mena"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Bajil","باجل","بَاجِل","باجل","Bajil"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","Al-Dhahi","الضحي","الضَّحِي","الضحي","Al Dhahi"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","Hais","حيس","حَيْس","حيس","Hais"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Al-Qnawis","القناوص","القَنَاوِص","القناوص","Al Qnawis"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Bora","برع","بُرَع","برع","Bora"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Thamar","ذمار","ذَمَار","06","مدينة ذمار","Thamar City","ذمار","Thamar","1","Jhran","جهران","جَهْرَان","جهران","Jhran"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Otmah","عتمة","عُتْمَة","عتمه","Otmah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Mayfa’at Ans","ميفعة عنس","مَيْفَعَة عَنْس","ميفعه عنس","Mayfa’at Ans"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Al-Hada","الحداء","الحَدَاء","الحداء","Al Hada"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Ans","عنس","عَنْس","عنس","Ans"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Wosab Al-Safil","وصاب السافل","وِصَاب السَّافِل","وصاب السافل","Wosab Al Safil"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Wosab Al-Aali","وصاب العالي","وِصَاب العَالِي","وصاب العالي","Wosab Al Aali"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Jabal Al-Sharq","جبل الشرق","جَبَل الشَّرْق","جبل الشرق","Jabal Al Sharq"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Al-Manar","المنار","المَنَار","المنار","Al Manar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Maghrib Ans","مغرب عنس","مَغْرِب عَنْس","مغرب عنس","Maghrib Ans"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Dhoran Aanis","ضوران آنس","ضُوْرَان آنِس","ضوران انس","Dhoran Aanis"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Thamar City","مدينة ذمار","مَدِيْنَة ذَمَار","مدينه ذمار","Thamar City"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Amran","عمران","عَمْران","07","مدينة عمران","Amran City","عمران","Amran","1","Harf Sofian","حرف سفيان","حَرْف سُفْيَان","حرف سفيان","Harf Sofian"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Hooth","حوث","حُوْث","حوث","Hooth"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Ashah","العشة","العَشِّة","العشه","Al Ashah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Qiflt Ethar","قفلة عذر","قِفْلَة عِذَر","قفله عذر","Qiflt Ethar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Shaharah","شهارة","شَهَارَة","شهاره","Shaharah"
